SEASON_YEAR,"PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_ABBREVIATION","TEAM_NAME","GAME_ID","GAME_DATE","MATCHUP","WL","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","PTS","PLUS_MINUS"
2000-01,2059,"Eduardo Najera",1610612742,"DAL","Dallas Mavericks",20001185,"2001-04-18T00:00:00","DAL vs. MIN","W",22.1666666666667,4,9,0.444,0,1,0,0,0,0,3,4,7,3,1,1,1,0,2,0,8,-7
2000-01,1717,"Dirk Nowitzki",1610612742,"DAL","Dallas Mavericks",20001185,"2001-04-18T00:00:00","DAL vs. MIN","W",28.7,5,10,0.5,1,3,0.333,4,4,1,1,7,8,3,1,2,4,0,1,0,15,32
2000-01,714,"Michael Finley",1610612742,"DAL","Dallas Mavericks",20001185,"2001-04-18T00:00:00","DAL vs. MIN","W",27.95,10,14,0.714,3,4,0.75,1,2,0.5,1,5,6,7,1,3,1,0,2,0,24,36
2000-01,137,"Vernon Maxwell",1610612742,"DAL","Dallas Mavericks",20001185,"2001-04-18T00:00:00","DAL vs. MIN","W",20.05,0,6,0,0,3,0,1,1,1,0,3,3,2,3,0,0,0,1,0,1,-16
2000-01,436,"Juwan Howard",1610612742,"DAL","Dallas Mavericks",20001185,"2001-04-18T00:00:00","DAL vs. MIN","W",25.2833333333333,6,9,0.667,0,1,0,1,1,1,0,4,4,6,2,0,0,0,3,0,13,31
2000-01,95,"Mark Bryant",1610612742,"DAL","Dallas Mavericks",20001185,"2001-04-18T00:00:00","DAL vs. MIN","W",17.2666666666667,2,5,0.4,0,0,0,2,4,0.5,0,1,1,0,0,1,0,0,3,1,6,-6
2000-01,1917,"Wang Zhi-zhi",1610612742,"DAL","Dallas Mavericks",20001185,"2001-04-18T00:00:00","DAL vs. MIN","W",17.515,5,10,0.5,0,1,0,3,4,0.75,0,3,3,0,0,0,0,0,2,0,13,-12
2000-01,762,"Shawn Bradley",1610612742,"DAL","Dallas Mavericks",20001185,"2001-04-18T00:00:00","DAL vs. MIN","W",9.61833333333333,1,2,0.5,0,0,0,2,2,1,0,1,1,0,1,0,0,0,1,0,4,11
2000-01,1916,"Calvin Booth",1610612742,"DAL","Dallas Mavericks",20001185,"2001-04-18T00:00:00","DAL vs. MIN","W",16.6166666666667,6,11,0.545,0,0,0,0,0,0,1,6,7,1,0,0,3,2,1,0,12,17
2000-01,458,"Howard Eisley",1610612742,"DAL","Dallas Mavericks",20001185,"2001-04-18T00:00:00","DAL vs. MIN","W",25.3183333333333,3,4,0.75,0,1,0,0,0,0,0,2,2,4,0,1,0,0,2,0,6,-3
2000-01,959,"Steve Nash",1610612742,"DAL","Dallas Mavericks",20001185,"2001-04-18T00:00:00","DAL vs. MIN","W",22.6816666666667,6,9,0.667,1,3,0.333,0,0,0,0,2,2,7,2,0,0,0,2,0,13,23
2000-01,2051,"Donnell Harvey",1610612742,"DAL","Dallas Mavericks",20001185,"2001-04-18T00:00:00","DAL vs. MIN","W",6.83333333333333,2,2,1,0,0,0,1,2,0.5,0,1,1,0,3,0,0,0,3,1,5,-6
2000-01,1916,"Calvin Booth",1610612742,"DAL","Dallas Mavericks",20001168,"2001-04-16T00:00:00","DAL @ GSW","W",25.6333333333333,1,3,0.333,0,0,0,2,2,1,0,4,4,3,3,0,2,0,4,0,4,-5
2000-01,762,"Shawn Bradley",1610612742,"DAL","Dallas Mavericks",20001168,"2001-04-16T00:00:00","DAL @ GSW","W",18.3166666666667,3,3,1,0,0,0,4,4,1,0,9,9,0,2,1,3,0,4,1,10,13
2000-01,2059,"Eduardo Najera",1610612742,"DAL","Dallas Mavericks",20001168,"2001-04-16T00:00:00","DAL @ GSW","W",10.0766666666667,0,2,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1,2,0,0,8
2000-01,959,"Steve Nash",1610612742,"DAL","Dallas Mavericks",20001168,"2001-04-16T00:00:00","DAL @ GSW","W",31.77,6,9,0.667,3,3,1,2,2,1,1,3,4,6,6,0,0,0,1,0,17,12
2000-01,436,"Juwan Howard",1610612742,"DAL","Dallas Mavericks",20001168,"2001-04-16T00:00:00","DAL @ GSW","W",34.3533333333333,12,18,0.667,0,0,0,6,7,0.857,3,3,6,0,5,0,3,1,4,0,30,1
2000-01,1717,"Dirk Nowitzki",1610612742,"DAL","Dallas Mavericks",20001168,"2001-04-16T00:00:00","DAL @ GSW","W",34.1333333333333,2,8,0.25,0,2,0,10,13,0.769,2,2,4,4,1,0,1,1,6,0,14,6
2000-01,458,"Howard Eisley",1610612742,"DAL","Dallas Mavericks",20001168,"2001-04-16T00:00:00","DAL @ GSW","W",25.4666666666667,3,4,0.75,1,1,1,2,2,1,0,2,2,6,0,3,0,0,6,0,9,4
2000-01,714,"Michael Finley",1610612742,"DAL","Dallas Mavericks",20001168,"2001-04-16T00:00:00","DAL @ GSW","W",45.3,8,18,0.444,3,5,0.6,2,5,0.4,1,5,6,4,0,1,1,1,2,0,21,5
2000-01,137,"Vernon Maxwell",1610612742,"DAL","Dallas Mavericks",20001168,"2001-04-16T00:00:00","DAL @ GSW","W",6.11666666666667,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0
2000-01,1917,"Wang Zhi-zhi",1610612742,"DAL","Dallas Mavericks",20001168,"2001-04-16T00:00:00","DAL @ GSW","W",8.83333333333333,1,3,0.333,0,0,0,3,4,0.75,1,0,1,0,1,0,0,1,2,0,5,1
